Purchased items,Qty.,Source 1,"",""
Multi format develop reel,1,https://www.bhphotovideo.com/c/product/122989-REG/Samigon_ESA325_Multi_Format_Autofeed_Reel.html/?ap=y&ap=y&smp=y&smp=y&lsft=BI%3A514&gclid=Cj0KCQiAifz-BRDjARIsAEElyGJT88kajqNKmDUBfLRG2EFd9lQ4hsmlhfQYR-yxHBjpS6vM2krk0AgaAu_tEALw_wcB,"",""
Teflon tube 4mm ID 6mm OD,2M,https://www.amazon.com/Quickun-Pneumatic-Polyurethane-Compressor-Transfer/dp/B07WHJ93M6/ref=sr_1_1_sspa?dchild=1&keywords=teflon+tube+6mm+od&qid=1608508793&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzNzdDVjFFSkQ3QTZDJmVuY3J5cHRlZElkPUEwMzA3MTk4MkFLU1NNRlVZTzdGMyZlbmNyeXB0ZWRBZElkPUEwMjE0NTEyMkNaWEI3UDNRTzlBTyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"",""
"Tube fitting, 6mm to 1/4'' NPT M",,https://www.amazon.com/SNS-SPC6-01NPBK-Nickel-Plated-Pneumatic-Fittings/dp/B07D6M19KS/ref=sr_1_4?dchild=1&keywords=pc%2B6%2Bnpt&qid=1608509597&s=industrial&sr=1-4&th=1,"",""
"Fitting attachment on tank, 1/4''F to 1/2''M NPT",,https://www.amazon.com/NIGO-Brass-Fitting-Bushing-Female/dp/B07F9JYRBY/ref=sr_1_25?dchild=1&keywords=1%2F4%27%27+g+thread&qid=1608509409&sr=8-25,"",""
Extrusion 1010,,https://www.amazon.com/MakerBeam-600x10x10mm-beam-black-anodised/dp/B00G2DNUI8/ref=sr_1_2_sspa?crid=2P7L2D1CL2QKY&dchild=1&keywords=1010+aluminum+extrusion&qid=1608521294&s=industrial&sprefix=1010+%2Cindustrial%2C163&sr=1-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExOUtEV0pUTUZJNUc2JmVuY3J5cHRlZElkPUEwMDQ2MDE3M0lLQlJVRlZITDVSVSZlbmNyeXB0ZWRBZElkPUEwMjU5MDMyMjNUN1FJN083QlNYUiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,https://www.amazon.com/MakerBeam-300mm-beam-black-anodised/dp/B00G2DNU4M/ref=sr_1_1_sspa?crid=2P7L2D1CL2QKY&dchild=1&keywords=1010+aluminum+extrusion&qid=1608521279&s=industrial&sprefix=1010+%2Cindustrial%2C163&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExOEhSTDdDUktUUlBIJmVuY3J5cHRlZElkPUEwMjk2OTY0M0paWVpBSDBGWEZTTiZlbmNyeXB0ZWRBZElkPUEwMjU4ODc2M0hEWjAxWERRNlFLRSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,
1010 extrusion 3-way bracket,8,https://www.mcmaster.com/1959N55/,"",""
1010 extrusion L bracket,,https://www.mcmaster.com/1959N43/,"",""
,,,"",""
3D printed parts,Qty.,File name,"",""
develop tank body,1,printed/STLs/tank_body,"",""
